Ville;Année;Sexe;total;<1;1-4;5-14;15-24;25-34;35-44;45-54;55-64;65-74;75-84;85-94;95
1;22;M;1896;527;61;11;0;0;17;40;62;107;168;347;556
1;23;T;4028;1407;328;16;0;0;14;33;105;160;271;523;1171
1;23;F;2154;893;262;8;0;0;0;8;36;62;83;206;596
1;23;M;1869;514;66;8;0;0;9;25;69;98;188;317;575
1;24;T;4178;1392;375;22;0;0;16;34;98;199;315;551;1176
1;24;F;2194;885;290;8;0;0;0;9;30;81;113;219;559
1;24;M;1980;507;85;14;0;0;12;25;68;118;202;332;617
1;25;T;3818;1186;310;21;0;0;13;47;86;186;284;511;1174
1;25;F;1992;739;241;15;0;0;0;16;30;60;119;202;570
1;25;M;1817;447;69;0;0;0;10;31;56;126;165;309;604
1;26;T;3786;1202;321;14;0;0;25;31;78;179;264;525;1147
1;26;F;1966;764;241;0;0;0;7;8;20;65;81;208;572
1;26;M;1814;438;80;8;0;0;18;23;58;114;183;317;575
1;27;T;3820;1215;333;21;0;0;22;37;90;171;317;480;1134
1;27;F;1967;753;252;0;0;0;7;10;29;55;107;200;554
1;27;M;1848;462;81;16;0;0;15;27;61;116;210;280;580
1;28;T;3705;1278;370;13;0;0;19;26;78;162;285;436;1038
1;28;F;1931;801;268;8;0;0;0;11;26;59;113;151;494
1;28;M;1763;477;102;0;0;0;13;15;52;103;172;285;544
1;29;T;3787;1273;374;15;0;0;21;27;72;169;295;432;1109
1;29;F;2025;806;284;10;0;0;8;7;23;66;106;157;558
1;29;M;1757;467;90;0;0;0;13;20;49;103;189;275;551
1;30;T;3787;1289;368;25;0;0;12;26;96;153;295;428;1095
1;30;F;2031;809;288;12;0;0;0;10;33;71;110;170;528
1;30;M;1755;480;80;13;0;0;11;16;63;82;185;258;567
1;31;T;3513;1234;405;14;0;0;7;20;77;145;297;385;929
1;31;F;1839;746;308;0;0;0;0;9;32;52;103;152;437
1;31;M;1661;488;97;8;0;0;0;11;45;93;194;233;492
1;32;T;3564;1251;364;15;0;0;16;25;72;153;313;431;924
1;32;F;1800;754;269;0;0;0;0;7;22;55;96;167;430
1;32;M;1752;497;95;9;0;0;10;18;50;98;217;264;494
1;33;T;3688;1412;341;15;0;0;8;28;59;152;286;438;949
1;33;F;1921;852;284;9;0;0;0;7;14;55;113;155;432
1;33;M;1753;560;57;0;0;0;0;21;45;97;173;283;517
1;34;T;3751;1454;345;20;0;0;10;21;66;162;293;452;928
1;34;F;1962;880;267;0;0;0;0;8;27;58;107;171;444
1;34;M;1782;574;78;16;0;0;7;13;39;104;186;281;484
1;35;T;3709;1485;334;22;0;0;13;25;49;130;287;467;897
1;35;F;1926;895;264;0;0;0;0;8;15;41;103;179;421
1;35;M;1777;590;70;17;0;0;12;17;34;89;184;288;476
2;0;T;9574;1734;178;89;23;40;121;138;187;603;1048;2193;3220
2;0;F;4517;1189;139;35;0;15;32;43;72;193;306;825;1668
2;0;M;5052;545;39;54;18;25;89;95;115;410;742;1368;1552
2;1;T;9395;1826;215;97;21;29;131;151;205;535;1042;2111;3032
2;1;F;4479;1274;156;40;9;13;40;57;61;150;278;762;1639
2;1;M;4916;552;59;57;12;16;91;94;144;385;764;1349;1393
2;2;T;9733;2119;232;88;24;21;113;159;217;524;1072;1957;3207
2;2;F;4921;1510;182;44;8;8;35;48;73;156;338;763;1756
2;2;M;4812;609;50;44;16;13;78;111;144;368;734;1194;1451
2;3;T;9345;1974;191;98;12;27;131;134;208;503;1104;1852;3111
2;3;F;4563;1399;157;41;0;10;39;40;69;147;348;690;1623
2;3;M;4780;575;34;57;10;17;92;94;139;356;756;1162;1488
2;4;T;9534;2133;227;89;26;27;119;145;213;481;1068;1761;3245
2;4;F;4839;1530;182;28;14;13;33;55;76;157;359;668;1724
2;4;M;4695;603;45;61;12;14;86;90;137;324;709;1093;1521
2;5;T;9234;1975;189;89;19;30;100;146;201;497;1102;1785;3101
2;5;F;4626;1414;157;41;8;12;33;45;62;161;342;677;1674
2;5;M;4608;561;32;48;11;18;67;101;139;336;760;1108;1427
2;6;T;9144;2046;184;81;15;22;106;150;205;443;1077;1717;3098
2;6;F;4448;1422;149;33;0;11;33;43;58;131;304;620;1644
2;6;M;4692;624;35;48;11;11;73;107;147;312;773;1097;1454
2;7;T;8949;2001;191;86;15;25;107;151;216;457;1013;1667;3020
2;7;F;4410;1400;152;39;7;11;25;36;72;142;329;615;1582
2;7;M;4539;601;39;47;8;14;82;115;144;315;684;1052;1438
2;8;T;8858;1985;205;78;14;25;105;145;252;393;1004;1633;3019
2;8;F;4367;1391;161;30;8;9;31;35;81;129;296;604;1592
2;8;M;4485;594;44;48;0;16;74;110;171;264;708;1029;1427
2;9;T;8809;2033;238;103;15;18;103;176;249;379;987;1584;2924
2;9;F;4364;1436;186;38;10;0;29;44;75;137;305;598;1506
2;9;M;4434;597;52;65;0;12;74;132;174;242;682;986;1418
2;10;T;8866;2109;220;76;17;14;114;177;222;426;949;1596;2946
2;10;F;4307;1440;173;19;9;7;29;44;63;145;294;545;1539
2;10;M;4559;669;47;57;8;7;85;133;159;281;655;1051;1407
2;11;T;8630;2125;237;72;20;23;105;192;252;394;878;1494;2838
2;11;F;4215;1440;196;31;14;10;21;50;75;115;287;561;1415
2;11;M;4409;685;41;41;0;13;84;142;177;279;591;933;1423
2;12;T;8545;2122;243;67;17;18;89;214;255;387;829;1516;2788
2;12;F;4270;1466;185;29;0;7;25;55;83;118;273;564;1465
2;12;M;4269;656;58;38;11;11;64;159;172;269;556;952;1323
2;13;T;8458;2150;270;76;14;22;88;199;272;368;845;1566;2588
2;13;F;4225;1510;213;28;10;9;19;41;83;108;269;578;1357
2;13;M;4229;640;57;48;0;13;69;158;189;260;576;988;1231
2;14;T;8363;2218;279;44;15;14;81;230;273;401;780;1621;2407
2;14;F;4148;1530;223;13;10;0;21;67;78;128;245;594;1239
2;14;M;4206;688;56;31;0;10;60;163;195;273;535;1027;1168
2;15;T;8141;2066;314;37;12;14;71;226;268;409;779;1612;2333
2;15;F;3962;1385;258;19;0;0;20;60;72;138;241;604;1165
2;15;M;4169;681;56;18;7;9;51;166;196;271;538;1008;1168
2;16;T;8245;2211;312;53;13;14;81;245;249;420;724;1614;2309
2;16;F;4039;1479;249;22;8;8;22;50;74;139;209;619;1160
2;16;M;4195;732;63;31;0;0;59;195;175;281;515;995;1149
2;17;T;8072;2211;311;41;7;17;55;191;273;433;721;1622;2190
2;17;F;3858;1445;245;16;0;0;11;50;91;150;221;560;1069
2;17;M;4202;766;66;25;0;12;44;141;182;283;500;1062;1121
2;18;T;7895;2235;347;46;0;13;63;113;206;411;643;1518;2300
2;18;F;3939;1515;284;19;0;7;15;27;66;132;196;553;1125
2;18;M;3950;720;63;27;0;0;48;86;140;279;447;965;1175
2;19;T;7845;2336;375;39;0;15;51;124;212;409;670;1411;2203
2;19;F;3869;1515;292;18;0;0;15;44;59;115;226;548;1037
2;19;M;3970;821;83;21;0;9;36;80;153;294;444;863;1166
2;20;T;7793;2328;375;51;7;17;49;112;213;385;623;1431;2202
2;20;F;3907;1585;288;19;0;0;16;41;73;113;193;489;1090
2;20;M;3874;743;87;32;0;12;33;71;140;272;430;942;1112
2;21;T;7844;2459;359;61;12;14;54;112;215;418;624;1414;2102
2;21;F;3802;1563;286;20;0;0;16;36;80;126;188;491;996
2;21;M;4031;896;73;41;7;8;38;76;135;292;436;923;1106
2;22;T;7382;2177;370;40;14;7;47;92;223;405;563;1249;2195
2;22;F;3641;1391;297;20;9;0;19;32;67;132;161;467;1046
2;22;M;3729;786;73;20;0;0;28;60;156;273;402;782;1149
2;23;T;7666;2194;417;36;11;10;50;101;222;439;654;1243;2289
2;23;F;3850;1429;339;14;0;0;12;26;78;124;209;482;1137
2;23;M;3802;765;78;22;0;7;38;75;144;315;445;761;1152
2;24;T;7983;2152;478;42;7;12;42;78;223;437;646;1328;2538
