Ville;Année;Libellé;Sexe;Total;<1;1-4;5-14;15-24;25-34;35-44;45-54;55-64;65-74;75-84;85-94;95
-1;31;49;T;66;;;;5;38;23;;;;;;
-1;31;50;M;742;742;;;;;;;;;;;
-1;31;50;F;565;565;;;;;;;;;;;
-1;31;50;T;1307;1307;;;;;;;;;;;
-1;31;51;M;54;24;4;4;3;3;7;5;2;2;;;
-1;31;51;F;54;28;4;3;6;4;1;1;2;2;2;1;
-1;31;51;T;108;52;8;7;9;7;8;6;4;4;2;1;
-1;31;52;M;290;143;11;6;13;21;20;29;24;9;10;4;
-1;31;52;F;252;124;14;7;8;13;9;21;15;11;15;14;1
-1;31;52;T;542;267;25;13;21;34;29;50;39;20;25;18;1
-1;31;53;M;409;136;19;9;10;9;24;49;83;31;29;9;1
-1;31;53;F;368;144;15;6;9;8;27;30;62;26;25;16;
-1;31;53;T;777;280;34;15;19;17;51;79;145;57;54;25;1
-1;31;54;M;146;146;;;;;;;;;;;
-1;31;54;F;81;81;;;;;;;;;;;
-1;31;54;T;227;227;;;;;;;;;;;
-1;31;55;M;11369;126;29;17;249;417;843;1382;1924;1504;2455;2053;370
-1;31;55;F;10096;97;18;19;82;135;306;494;760;811;2233;3523;1618
-1;31;55;T;21465;223;47;36;331;552;1149;1876;2684;2315;4688;5576;1988
-1;31;56;M;9207;14;9;9;36;86;256;585;1051;1106;2369;2807;879
-1;31;56;F;14138;8;7;5;14;25;93;202;351;618;2583;6001;4231
-1;31;56;T;23345;22;16;14;50;111;349;787;1402;1724;4952;8808;5110
-1;31;57;M;3009;6;19;56;755;521;464;406;277;185;230;88;2
-1;31;57;F;917;2;11;27;160;86;78;122;103;107;146;67;8
-1;31;57;T;3926;8;30;83;915;607;542;528;380;292;376;155;10
-1;31;58;M;2849;;5;7;31;56;88;198;321;328;829;844;142
-1;31;58;F;3041;1;2;3;11;7;20;60;126;215;810;1326;460
-1;31;58;T;5890;1;7;10;42;63;108;258;447;543;1639;2170;602
-1;31;59;M;984;;;2;40;124;180;130;107;91;174;124;12
-1;31;59;F;795;;1;2;11;16;58;94;79;56;202;218;58
-1;31;59;T;1779;;1;4;51;140;238;224;186;147;376;342;70
-1;31;60;M;6692;12;53;37;195;254;377;618;771;761;1646;1653;315
-1;31;60;F;6656;17;33;22;40;51;103;192;311;405;1531;2890;1061
-1;31;60;T;13348;29;86;59;235;305;480;810;1082;1166;3177;4543;1376
-1;31;61;M;7606;;;23;380;797;1408;1694;1222;730;879;454;19
-1;31;61;F;2728;;;17;116;174;437;634;559;327;313;135;16
-1;31;61;T;10334;;;40;496;971;1845;2328;1781;1057;1192;589;35
-1;31;62;M;249;6;3;3;41;40;44;53;33;15;6;5;
-1;31;62;F;150;2;7;3;12;22;26;25;20;9;15;8;1
-1;31;62;T;399;8;10;6;53;62;70;78;53;24;21;13;1
-1;31;63;M;335;5;4;6;25;34;58;54;56;39;36;16;2
-1;31;63;F;89;3;2;2;9;3;15;13;19;13;7;3;
-1;31;63;T;424;8;6;8;34;37;73;67;75;52;43;19;2
-1;31;64;M;668;;;1;4;11;17;45;80;108;241;152;9
-1;31;64;F;647;2;;;3;5;8;25;40;54;246;228;36
-1;31;64;T;1315;2;;1;7;16;25;70;120;162;487;380;45
-1;32;0;M;295;;;;2;5;4;14;21;43;105;93;8
-1;32;0;F;285;;;;;2;1;5;9;17;101;134;16
-1;32;0;T;580;;;;2;7;5;19;30;60;206;227;24
-1;32;1;M;14;4;;1;5;2;;;;1;;1;
-1;32;1;F;13;1;2;;6;;;1;;1;2;;
-1;32;1;T;27;5;2;1;11;2;;1;;2;2;1;
-1;32;2;M;283;;;;2;9;58;113;60;28;13;;
-1;32;2;F;98;;;;;9;24;33;19;7;5;1;
-1;32;2;T;381;;;;2;18;82;146;79;35;18;1;
-1;32;3;M;384;1;;;;2;32;126;70;49;68;33;3
-1;32;3;F;302;;;;1;;8;32;36;58;119;47;1
-1;32;3;T;686;1;;;1;2;40;158;106;107;187;80;4
-1;32;4;M;4588;22;10;7;12;28;48;167;486;640;1587;1417;164
-1;32;4;F;5113;15;13;6;12;18;30;111;229;424;1395;2281;579
-1;32;4;T;9701;37;23;13;24;46;78;278;715;1064;2982;3698;743
-1;32;5;M;3229;;;;2;5;46;554;1190;731;513;179;9
-1;32;5;F;889;;1;;2;1;16;134;217;157;179;157;25
-1;32;5;T;4118;;1;;4;6;62;688;1407;888;692;336;34
-1;32;6;M;2967;;;;;5;26;315;839;768;758;244;12
-1;32;6;F;841;;;;1;1;7;73;178;154;257;158;12
-1;32;6;T;3808;;;;1;6;33;388;1017;922;1015;402;24
-1;32;7;M;2979;;;;1;13;77;224;526;716;924;479;19
-1;32;7;F;1674;;;;3;13;46;83;192;247;524;509;57
-1;32;7;T;4653;;;;4;26;123;307;718;963;1448;988;76
-1;32;8;M;6497;;;;;13;55;243;990;1496;2313;1303;84
-1;32;8;F;6098;;;;3;15;74;216;595;910;2021;1984;280
-1;32;8;T;12595;;;;3;28;129;459;1585;2406;4334;3287;364
-1;32;9;M;2529;;;;1;6;33;158;488;566;824;417;36
-1;32;9;F;2015;;;;3;7;21;110;245;332;654;571;72
-1;32;9;T;4544;;;;4;13;54;268;733;898;1478;988;108
-1;32;10;M;5739;;1;;5;16;64;429;1223;1641;1769;572;19
-1;32;10;F;2184;;;;1;6;25;87;275;431;790;518;51
-1;32;10;T;7923;;1;;6;22;89;516;1498;2072;2559;1090;70
-1;32;11;M;4731;;;;3;7;53;358;986;1350;1431;513;30
-1;32;11;F;4575;1;;;1;4;41;190;584;905;1680;1052;117
-1;32;11;T;9306;1;;;4;11;94;548;1570;2255;3111;1565;147
-1;32;12;M;23385;;;;2;24;358;2441;6587;6255;5817;1826;75
-1;32;12;F;7734;1;;;2;14;177;1085;1993;1590;1851;956;65
-1;32;12;T;31119;1;;;4;38;535;3526;8580;7845;7668;2782;140
-1;32;13;M;987;;;1;7;20;52;113;209;205;242;127;11
-1;32;13;F;727;;;;5;21;53;81;109;122;177;140;19
-1;32;13;T;1714;;;1;12;41;105;194;318;327;419;267;30
-1;32;14;M;106;;;;;;2;5;16;19;39;24;1
-1;32;14;F;11517;;;;3;70;486;1211;2185;2137;2822;2249;354
-1;32;14;T;11623;;;;3;70;488;1216;2201;2156;2861;2273;355
-1;32;15;M;0;;;;;;;;;;;;
-1;32;15;F;770;;;;;18;84;156;174;111;137;85;5
-1;32;15;T;770;;;;;18;84;156;174;111;137;85;5
